,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Zapolyarnyy,76,RU,1574567481,93,69.43,30.82,32.0,26.4
375,Comodoro Rivadavia,100,AR,1574567481,59,-45.87,-67.48,66.2,10.29
376,Nago,75,IT,1574567404,87,45.88,10.89,55.0,5.82
377,Amapa,20,HN,1574567482,88,15.09,-87.97,77.0,4.7
378,Waingapu,0,ID,1574567483,71,-9.65,120.26,82.58,5.55
379,Basar,20,IN,1574567483,83,27.98,94.69,71.6,3.36
380,Pangody,13,RU,1574567483,99,65.85,74.49,-11.31,5.64
381,Sabang,100,PH,1574567484,64,13.8,121.11,86.05,8.23
382,Turukhansk,0,RU,1574567484,88,65.8,87.96,-16.74,3.96
383,Ballina,39,IE,1574567484,96,54.11,-9.15,43.0,1.01
384,Gold Coast,0,AU,1574567484,50,-28.0,153.41,89.01,17.22
385,Monrovia,75,LR,1574567485,94,6.33,-10.8,77.0,6.11
386,Sangar,98,RU,1574567485,98,63.92,127.47,-23.87,1.32
387,Kaeo,0,NZ,1574567486,63,-35.1,173.78,79.0,8.1
388,Puerto Del Rosario,90,ES,1574567486,77,28.5,-13.86,68.0,8.05
389,Matara,100,BI,1574567486,97,-3.48,29.48,55.74,1.5
390,Whitehorse,90,CA,1574567487,95,60.72,-135.06,32.0,8.05
391,Oshawa,90,CA,1574567475,87,43.92,-78.86,37.0,2.24
392,Maniitsoq,100,GL,1574567487,97,65.42,-52.9,32.36,26.73
393,Saint Anthony,1,US,1574567488,73,43.97,-111.68,28.4,4.9
394,Katsuura,75,JP,1574567488,77,33.93,134.5,66.0,2.24
395,Margate,75,AU,1574567489,30,-43.03,147.26,71.01,14.99
396,Genhe,13,CN,1574567489,76,50.78,121.52,-2.49,4.63
397,Russell,1,US,1574567489,74,38.9,-98.86,37.4,10.29
398,Hue,20,VN,1574567489,62,16.47,107.58,84.2,3.36
399,Guerrero Negro,100,MX,1574567490,63,27.97,-114.04,66.87,3.22
400,Santa Helena,36,BR,1574567490,94,-2.23,-45.3,72.95,2.08
401,Jiuquan,0,CN,1574567490,38,39.73,98.49,19.22,5.91
402,Bukama,100,CD,1574567491,98,-9.2,25.85,69.22,3.74
403,Yinchuan,0,CN,1574567491,18,38.48,106.21,22.53,6.02
404,Beringovskiy,0,RU,1574567491,86,63.05,179.32,6.53,13.38
405,Najran,40,SA,1574567491,71,17.54,44.22,55.4,2.24
406,Port-Cartier,20,CA,1574567492,85,50.03,-66.88,21.2,3.36
407,Portland,1,US,1574567252,57,43.66,-70.25,33.01,16.51
408,Antofagasta,90,CL,1574567492,77,-23.65,-70.4,66.2,9.17
409,Bathsheba,40,BB,1574567492,78,13.22,-59.52,82.4,12.75
410,Shevchenkove,0,UA,1574567493,67,49.7,37.18,21.2,15.66
411,Hofn,100,IS,1574567493,90,64.25,-15.21,45.64,22.66
412,Flin Flon,50,CA,1574567493,89,54.77,-101.88,32.74,9.95
413,Challans,16,FR,1574567494,100,46.85,-1.88,43.0,5.82
414,Talagang,100,PK,1574567494,52,32.92,72.41,59.94,0.98
415,Egvekinot,0,RU,1574567495,78,66.32,-179.17,-8.77,3.2
416,Salaya,5,IN,1574567495,66,22.31,69.6,79.02,15.08
417,Hede,100,SE,1574567495,93,60.45,15.49,36.0,3.36
418,Evensk,100,RU,1574567495,95,61.92,159.24,8.47,8.7
419,Erdenet,1,MN,1574567496,78,49.03,104.04,-4.47,4.18
420,Mena,87,UA,1574567496,39,51.52,32.22,21.2,10.49
421,Magadan,100,RU,1574567496,94,59.56,150.8,29.55,31.83
422,Kenai,1,US,1574567496,59,60.55,-151.26,33.8,8.05
423,Santa Paula,1,US,1574567497,51,34.35,-119.06,68.0,3.36
424,Poya,46,NC,1574567497,76,-21.35,165.16,72.05,23.64
425,Itoman,75,JP,1574567497,88,26.12,127.67,80.6,9.17
426,Havoysund,98,NO,1574567498,86,71.0,24.66,37.4,19.46
427,Dehloran,26,IR,1574567499,35,32.69,47.27,53.33,0.92
428,Hasaki,75,JP,1574567499,100,35.73,140.83,66.2,4.7
429,Boffa,0,GN,1574567499,87,10.18,-14.04,77.45,2.57
430,Sirajganj,95,BD,1574567500,53,24.46,89.71,74.46,3.24
431,Nanakuli,90,US,1574567500,78,21.39,-158.15,80.6,4.7
432,Nome,1,US,1574567500,81,30.04,-94.42,55.0,3.36
433,Vostok,100,RU,1574567500,82,46.45,135.83,19.53,7.4
434,Limon,1,US,1574567501,85,39.26,-103.69,39.99,5.82
435,Young,0,UY,1574567501,61,-32.7,-57.63,64.99,10.0
436,Sayyan,26,YE,1574567501,76,15.17,44.32,51.4,1.39
437,Berlevag,95,NO,1574567501,88,70.86,29.09,39.31,20.45
438,Muncar,36,ID,1574567502,76,-8.43,114.34,81.82,6.35
439,Quatre Cocos,75,MU,1574567502,94,-20.21,57.76,78.01,6.93
440,Abu Kamal,95,SY,1574567503,37,34.45,40.92,52.5,2.13
441,Great Yarmouth,98,GB,1574567503,100,52.61,1.73,46.99,4.81
442,Nunoa,40,PE,1574567503,85,-14.48,-70.64,40.26,5.82
443,Hambantota,75,LK,1574567503,100,6.12,81.12,77.0,8.05
444,San Quintin,96,PH,1574567504,64,17.54,120.52,84.63,4.41
445,Yar-Sale,0,RU,1574567504,88,66.83,70.83,-11.56,3.69
446,Panguna,92,PG,1574567504,72,-6.32,155.48,78.03,5.86
447,Meadow Lake,65,CA,1574567505,79,54.13,-108.44,34.05,12.01
448,Clovis,1,US,1574567298,66,36.83,-119.7,55.99,3.36
449,Bujumbura,100,BI,1574567505,97,-3.36,29.37,55.74,1.5
450,Dawson,1,US,1574567506,91,39.85,-89.46,35.6,12.75
451,Tilichiki,34,RU,1574567506,80,60.47,166.1,0.18,8.61
452,Bilma,0,NE,1574567506,20,18.69,12.92,72.99,6.46
453,Itarema,98,BR,1574567506,87,-2.92,-39.92,77.11,6.51
454,Calama,70,CL,1574567507,32,-22.46,-68.93,53.6,4.7
455,Hualmay,100,PE,1574567507,84,-11.1,-77.61,62.44,4.76
456,Trebinje,20,HR,1574567507,93,42.71,18.35,55.4,1.12
457,Buchanan,75,LR,1574567507,94,5.88,-10.05,77.0,2.53
458,Emiliano Zapata,2,MX,1574567508,77,20.23,-89.47,72.46,2.37
459,Nalut,34,LY,1574567508,73,31.86,10.98,54.41,5.79
460,Kachug,100,RU,1574567508,79,53.96,105.89,6.08,4.05
461,Opuwo,0,NA,1574567509,38,-18.06,13.84,65.21,4.43
462,Mecca,2,SA,1574567323,68,21.43,39.83,72.91,1.63
463,Poum,31,MK,1574567509,93,41.28,20.71,39.2,4.7
464,Itamaraca,40,BR,1574567509,74,-7.75,-34.83,80.6,5.82
465,Vardo,90,US,1574567510,93,39.62,-77.74,37.99,5.86
466,George,98,MW,1574567510,87,-15.35,34.83,72.75,2.04
467,Velikiy Novgorod,100,RU,1574567510,39,58.52,31.28,28.17,7.87
468,Nioro,0,GM,1574567510,26,13.79,-15.05,76.01,6.71
469,Kamaishi,75,JP,1574567511,100,39.28,141.86,53.6,2.24
470,Kutum,3,SD,1574567511,28,14.2,24.66,60.69,4.74
471,Balkhash,7,KZ,1574567511,92,46.84,74.98,15.8,2.24
472,Noumea,27,NC,1574567512,45,-22.28,166.46,82.4,19.46
473,Khowai,21,IN,1574567512,73,24.08,91.6,77.0,1.95
474,Ambulu,93,ID,1574567512,85,-8.35,113.61,80.06,9.15
475,Lazaro Cardenas,5,MX,1574567512,61,28.39,-105.62,53.01,4.7
476,Blagoyevo,93,RU,1574567513,95,63.37,47.92,11.91,4.45
477,Diosjeno,0,HU,1574567513,86,47.94,19.04,41.0,11.41
478,Kiruna,1,SE,1574567513,100,67.86,20.23,30.2,6.93
479,Puerto Escondido,40,MX,1574567513,74,15.86,-97.07,78.8,6.93
480,Port Hawkesbury,75,CA,1574567514,71,45.62,-61.36,34.0,17.22
481,Komsomolskiy,0,RU,1574567514,91,67.55,63.78,3.67,5.39
482,Honiara,20,SB,1574567514,66,-9.43,159.96,87.8,8.05
483,Lodja,100,CD,1574567515,97,-3.52,23.6,65.08,0.76
484,Luau,99,CD,1574567515,97,-10.7,22.23,63.14,4.81
485,Constitucion,5,MX,1574567515,22,23.99,-104.67,57.2,5.82
486,Akhtubinsk,0,RU,1574567515,87,48.29,46.17,19.29,6.46
487,Sorland,100,NO,1574567516,93,67.67,12.69,44.78,19.75
488,Abbeville,40,FR,1574567516,93,50.11,1.83,46.99,5.82
489,Lubao,100,CD,1574567516,98,-5.39,25.75,66.07,0.69
490,Hanzhong,100,CN,1574567517,90,33.08,107.03,39.69,1.12
491,Zhaoyuan,0,CN,1574567517,43,45.52,125.08,15.37,12.3
492,Enderby,90,CA,1574567517,91,50.55,-119.14,43.0,9.17
493,Muisne,100,EC,1574567517,84,0.61,-80.02,76.03,5.93
494,Byron Bay,0,AU,1574567518,50,-28.65,153.62,87.8,17.22
495,Nizhniy Tsasuchey,0,RU,1574567518,61,50.52,115.13,6.12,14.58
496,Nouadhibou,0,MR,1574567519,82,20.93,-17.03,66.2,16.11
497,Gwadar,0,PK,1574567519,49,25.12,62.33,71.53,13.13
498,Aykhal,95,RU,1574567519,67,65.95,111.51,-27.4,2.24
499,Chicama,75,PE,1574567520,88,-7.84,-79.15,66.2,9.17
500,Shangzhi,100,CN,1574567520,49,45.21,127.96,19.74,10.2
501,Fonte Boa,79,BR,1574567520,97,-2.51,-66.09,74.75,1.86
502,Fukue,75,JP,1574567521,60,35.03,136.69,68.0,3.36
503,Takoradi,0,GH,1574567521,83,4.89,-1.75,80.38,6.44
504,Neuquen,21,AR,1574567521,49,-38.95,-68.06,69.8,11.43
505,Tessalit,0,ML,1574567521,9,20.2,1.01,65.14,4.68
506,Upata,11,VE,1574567522,97,8.02,-62.41,71.01,2.89
507,Dongen,90,NL,1574567522,100,51.62,4.94,41.0,1.12
508,Alyangula,33,AU,1574567522,55,-13.85,136.42,91.4,12.75
509,Tromso,75,NO,1574567522,86,69.65,18.96,37.4,8.05
510,Norman Wells,20,CA,1574567523,84,65.28,-126.83,3.2,3.36
511,Novorudnyy,0,RU,1574567523,78,51.5,58.19,12.2,13.42
512,Cockburn Town,28,TC,1574567523,68,21.46,-71.14,79.36,15.93
513,Takapau,0,NZ,1574567524,54,-40.02,176.35,75.99,8.01
514,Solnechnyy,97,RU,1574567524,79,50.72,136.64,10.85,3.69
515,Carutapera,90,BR,1574567525,82,-1.2,-46.02,81.12,13.91
516,Shache,97,CN,1574567525,98,38.42,77.24,39.0,7.85
517,Fuyu,0,CN,1574567526,68,47.79,124.46,9.19,6.11
518,Vila Do Maio,40,CV,1574567526,78,15.13,-23.22,71.6,12.75
519,Port Lincoln,0,AU,1574567526,23,-34.72,135.86,76.69,1.1
520,Lisakovsk,0,KZ,1574567526,93,52.55,62.49,6.94,8.9
521,Wamba,100,CD,1574567527,99,2.14,27.99,63.43,1.72
522,Kontagora,0,NG,1574567527,31,10.4,5.47,76.03,2.28
523,Shwebo,0,MM,1574567527,69,22.57,95.7,74.59,4.36
524,Kibala,95,TD,1574567527,88,9.11,18.35,68.0,3.8
525,Virden,0,CA,1574567528,77,49.85,-100.93,36.18,14.2
526,Faya,75,SA,1574567528,93,18.39,42.45,57.2,3.27
527,Shelburne,1,CA,1574567528,92,44.08,-80.2,35.6,6.4
528,Endicott,90,US,1574567529,55,42.1,-76.05,37.4,10.29
529,Tazmalt,40,DZ,1574567529,76,36.39,4.4,51.8,10.29
530,Kissidougou,8,GN,1574567529,72,9.19,-10.1,67.5,3.94
531,Salym,100,RU,1574567530,95,60.06,71.48,16.77,7.65
532,Pyapon,15,MM,1574567530,65,16.29,95.68,80.76,3.49
533,Kaduna,22,NG,1574567530,29,10.52,7.44,71.71,2.62
534,Walvis Bay,0,NA,1574567530,87,-22.95,14.51,57.0,4.7
535,Laguna,2,BZ,1574567531,94,16.17,-88.94,75.2,1.34
536,Waitati,3,NZ,1574567531,72,-45.75,170.57,57.99,38.99
537,Balakirevo,100,RU,1574567531,38,56.51,38.84,21.69,9.24
538,Ust-Kulom,100,RU,1574567532,95,61.69,53.69,24.53,4.76
539,Dharchula,100,IN,1574567532,26,29.85,80.53,47.41,6.98
540,Mayo,75,CA,1574567532,77,63.59,-135.9,1.4,2.24
541,Cimarron Hills,1,US,1574567532,36,38.86,-104.7,39.0,10.29
542,Blythe,1,US,1574567533,62,33.61,-114.59,57.2,10.29
543,Zhanaozen,0,KZ,1574567533,43,43.35,52.85,20.59,2.86
544,Coxim,78,BR,1574567533,67,-18.5,-54.75,77.11,5.37
545,Bhigvan,0,IN,1574567534,56,18.32,74.77,70.12,5.95
546,Aripuana,100,BR,1574567534,98,-9.17,-60.63,72.16,0.83
547,Jinxiang,100,CN,1574567534,59,35.07,116.31,55.36,19.95
548,Garden City,51,US,1574567534,69,43.62,-116.24,39.99,3.31
549,Maningrida,0,AU,1574567535,48,-12.05,134.23,91.27,14.14
550,Koslan,76,RU,1574567535,96,63.46,48.9,13.17,4.36
551,Manama,0,AE,1574567535,87,25.33,56.02,69.8,4.7
552,Marshall,1,US,1574567535,86,39.12,-93.2,37.99,4.7
553,Hirado,75,JP,1574567536,93,33.32,129.49,66.99,3.36
554,Consett,75,GB,1574567536,100,54.85,-1.83,48.2,4.7
